applicant_id,business_name,sector,vintage_months,gst_filing_regularity,gst_turnover_growth,gst_itc_mismatch_rate,upi_avg_daily_inflow,upi_inflow_volatility,upi_customer_concentration,aa_avg_balance,aa_bounce_rate,aa_existing_emi_ratio,bureau_thin_signal,default_12m
MSME1000,"Doctor, Chawla and Padmanabhan",Retail/Kirana,75,0.463,-0.135,0.194,28552.78,0.277,0.176,43502.22,0.065,0.143,0.64,0
MSME1001,Sangha LLC,Retail/Kirana,47,0.904,0.158,0.367,10013.88,0.278,0.253,63938.65,0.023,0.258,0.204,0
MSME1002,"Narasimhan, Narayanan and Gour",Retail/Kirana,55,0.853,0.031,0.085,19709.11,0.352,0.235,33547.86,0.034,0.242,0.73,1
MSME1003,Ratti-Datta,Agri-trade,14,0.79,0.255,0.189,6599.74,0.407,0.409,29115.22,0.085,0.097,0.423,1
MSME1004,"Bobal, Swaminathan and Sen",Services,19,0.868,0.027,0.044,41960.77,0.115,0.182,49711.46,0.158,0.211,0.583,0
MSME1005,Manda-Balan,Textiles,38,0.805,0.118,0.197,12540.2,0.274,0.25,78188.66,0.142,0.04,0.628,0
MSME1006,"Warrior, Aurora and Kakar",Wholesale Trade,75,0.725,0.271,0.353,7881.24,0.119,0.094,75082.73,0.167,0.186,0.233,0
MSME1007,"Prakash, Lalla and Kar",Manufacturing,89,0.801,0.241,0.222,5251.03,0.125,0.021,12096.43,0.41,0.372,0.664,1
MSME1008,"Bajaj, Khare and Andra",Auto components,14,0.678,0.131,0.278,18001.01,0.168,0.534,52834.73,0.03,0.039,0.417,1
MSME1009,Chaudhuri-Apte,Food & Beverage,16,0.486,0.024,0.222,21935.95,0.426,0.245,62479.66,0.275,0.316,0.59,1
MSME1010,Sampath Group,Textiles,83,0.63,0.17,0.067,36134.74,0.484,0.077,63262.84,0.003,0.52,0.2,0
MSME1011,"Madan, Bera and Pandya",Wholesale Trade,75,0.77,0.101,0.097,29997.89,0.069,0.093,84868.82,0.17,0.12,0.778,0
MSME1012,Jani Inc,Wholesale Trade,46,0.564,-0.152,0.103,10051.5,0.263,0.129,33187.76,0.164,0.063,0.434,0
MSME1013,Bava-Prakash,Services,68,0.905,0.045,0.424,500.0,0.103,0.111,41067.4,0.012,0.086,0.373,0
MSME1014,"Kalla, Kuruvilla and Kadakia",Auto components,57,0.674,0.04,0.126,19922.29,0.391,0.442,11478.48,0.042,0.13,0.581,0
MSME1015,Buch-Ram,Manufacturing,43,0.704,0.074,0.26,23163.62,0.115,0.411,35739.81,0.224,0.046,0.322,0
MSME1016,"Mangat, Bhalla and Barad",Auto components,75,0.909,0.075,0.152,9739.53,0.521,0.295,88651.37,0.079,0.096,0.434,0
MSME1017,"Shenoy, Suri and Warrior",Retail/Kirana,11,0.485,0.022,0.22,25951.99,0.293,0.277,7665.85,0.04,0.102,0.368,1
MSME1018,Mitra PLC,Textiles,4,0.732,0.26,0.306,4123.83,0.171,0.083,8328.77,0.213,0.131,0.274,0
MSME1019,"Virk, Shere and Nanda",Manufacturing,55,0.545,-0.193,0.228,23355.87,0.115,0.175,53067.4,0.071,0.715,0.941,0
MSME1020,"Yogi, Parsa and Wadhwa",Retail/Kirana,29,0.628,-0.164,0.252,16295.96,0.517,0.143,95036.63,0.03,0.279,0.551,0
MSME1021,Johal Ltd,Auto components,25,0.647,0.178,0.309,22192.21,0.558,0.243,31937.78,0.046,0.187,0.21,1
MSME1022,Hans-Borah,Textiles,10,0.454,-0.095,0.232,24702.59,0.231,0.112,0.0,0.233,0.562,0.586,0
MSME1023,Buch-Bhardwaj,Auto components,46,0.697,0.102,0.157,500.0,0.544,0.139,33848.5,0.048,0.312,0.473,0
MSME1024,Chopra-Sengupta,Services,11,0.754,-0.132,0.289,34207.5,0.386,0.239,98926.83,0.188,0.211,0.247,0
MSME1025,Kalita Inc,Manufacturing,5,0.68,-0.067,0.066,31199.76,0.272,0.184,26158.02,0.128,0.056,0.868,1
MSME1026,Bail Ltd,Food & Beverage,84,0.556,0.119,0.409,7267.85,0.115,0.336,48931.73,0.113,0.416,0.503,0
MSME1027,Sibal and Sons,Agri-trade,66,0.699,0.051,0.148,13116.68,0.161,0.553,44630.42,0.09,0.493,0.61,1
MSME1028,Keer-Banik,Services,81,0.721,0.013,0.383,500.0,0.338,0.161,47097.59,0.031,0.1,0.199,0
MSME1029,"Kari, Vohra and Biswas",Agri-trade,18,0.746,0.342,0.171,18072.2,0.201,0.318,70979.06,0.111,0.241,0.821,0
MSME1030,Dyal Group,Services,88,0.384,0.396,0.113,5971.87,0.4,0.133,41814.54,0.172,0.548,0.533,0
MSME1031,Subramaniam-Bhatnagar,Wholesale Trade,81,0.743,0.151,0.112,39532.44,0.423,0.189,23121.39,0.074,0.26,0.366,0
MSME1032,"D’Alia, Sharma and Sehgal",Services,26,0.676,0.153,0.195,500.0,0.207,0.356,59554.83,0.05,0.444,0.712,0
MSME1033,"Dass, Tata and Zachariah",Auto components,87,0.721,0.029,0.289,19798.11,0.284,0.33,43192.44,0.023,0.217,0.209,0
MSME1034,Misra-Andra,Wholesale Trade,89,0.852,0.069,0.291,25838.94,0.222,0.173,59836.7,0.159,0.427,0.157,1
MSME1035,Loke-Bhagat,Manufacturing,72,0.749,0.072,0.293,23403.81,0.286,0.198,0.0,0.054,0.201,0.277,0
MSME1036,"Date, Deo and Dhawan",Auto components,24,0.568,0.002,0.291,21271.74,0.175,0.6,34102.18,0.117,0.605,0.325,1
MSME1037,"Parekh, Sahota and Dalal",Agri-trade,73,0.516,0.123,0.078,17872.34,0.075,0.15,67503.65,0.429,0.59,0.662,0
MSME1038,Vaidya-Aurora,Agri-trade,37,0.591,-0.013,0.373,500.0,0.015,0.338,60718.53,0.157,0.243,0.111,0
MSME1039,Chaudry and Sons,Auto components,15,0.568,-0.09,0.31,13054.21,0.11,0.412,26145.46,0.121,0.299,0.63,1
MSME1040,Palla-Bahl,Manufacturing,58,0.584,0.116,0.138,22364.38,0.505,0.317,44302.99,0.326,0.161,0.412,0
MSME1041,Mitra-Saxena,Wholesale Trade,84,0.339,-0.312,0.232,3839.99,0.344,0.447,80712.41,0.052,0.236,0.798,1
MSME1042,Ravel Group,Textiles,91,0.494,0.159,0.591,23267.89,0.085,0.141,61868.19,0.021,0.34,0.338,0
MSME1043,Garg-Luthra,Agri-trade,32,0.868,0.247,0.241,500.0,0.215,0.185,35476.84,0.091,0.142,0.627,0
MSME1044,Sem-Narula,Agri-trade,93,0.707,0.237,0.167,26336.05,0.303,0.305,86037.22,0.034,0.247,0.798,0
MSME1045,Pingle Ltd,Services,25,0.823,-0.07,0.041,500.0,0.133,0.076,114773.39,0.317,0.336,0.469,0
MSME1046,"Sethi, Bassi and Dugal",Auto components,64,0.9,0.208,0.277,500.0,0.281,0.105,33279.67,0.265,0.35,0.251,0
MSME1047,Nori-Savant,Auto components,15,0.734,0.108,0.107,10504.76,0.488,0.013,47037.4,0.284,0.172,0.329,0
MSME1048,Venkatesh PLC,Food & Beverage,5,0.361,0.207,0.097,500.0,0.151,0.172,0.0,0.043,0.156,0.299,0
MSME1049,Patla-Sridhar,Wholesale Trade,28,0.825,-0.081,0.107,500.0,0.238,0.066,0.0,0.147,0.259,0.694,0
MSME1050,Datta Ltd,Food & Beverage,83,0.661,0.108,0.282,31592.28,0.492,0.318,53646.57,0.084,0.505,0.37,1
MSME1051,Shankar-Din,Manufacturing,23,0.98,0.116,0.384,17795.55,0.534,0.372,0.0,0.17,0.469,0.719,1
MSME1052,Subramaniam Ltd,Services,21,0.662,0.418,0.042,9645.46,0.271,0.206,38177.42,0.013,0.272,0.575,0
MSME1053,"Natt, Nanda and Anand",Services,6,0.804,0.037,0.051,22922.54,0.383,0.09,52104.78,0.308,0.45,0.463,0
MSME1054,Devan PLC,Services,34,0.641,-0.039,0.413,11648.73,0.283,0.237,3949.97,0.089,0.588,0.331,1
MSME1055,"Kamdar, Sawhney and Khosla",Services,23,0.769,0.225,0.142,18845.03,0.141,0.166,17467.39,0.465,0.14,0.513,0
MSME1056,Sawhney-Suresh,Wholesale Trade,71,0.709,0.226,0.03,17905.15,0.546,0.224,43808.81,0.169,0.437,0.573,0
MSME1057,Dey Ltd,Retail/Kirana,95,0.604,-0.072,0.174,15282.54,0.517,0.29,89348.37,0.043,0.157,0.239,0
MSME1058,Parekh LLC,Agri-trade,64,0.632,0.035,0.436,4984.67,0.443,0.226,71158.03,0.093,0.022,0.122,1
MSME1059,Dutt PLC,Agri-trade,5,0.707,-0.174,0.302,500.0,0.396,0.206,63088.11,0.137,0.216,0.961,0
MSME1060,"Mammen, Bhalla and Barad",Food & Beverage,56,0.867,-0.228,0.427,5793.31,0.623,0.206,44001.16,0.04,0.485,0.318,1
MSME1061,Guha-Munshi,Auto components,47,0.948,0.092,0.121,10967.38,0.315,0.124,32086.25,0.205,0.391,0.461,1
